timestamp,lstm_cpu,lstm_mem,lstm_rtt,lstm_pkt_in,lstm_pkt_out,lstm_flow_mod,lstm_flows_sec,lstm_bw,if_cpu,if_mem,if_rtt,if_pkt_in,if_pkt_out,if_flow_mod,if_table_occ,if_link_loss,if_bw,if_churn,if_zscore_avg,if_ratio_pkt_flow
1764658184.5101936,89.1,34.7,0.005,13936.541138351833,13936.541138351833,0,0,0,89.1,34.7,0.005,13936.541138351833,13936.541138351833,0,0,0,0,0,2.2225906885089888,1393654113.8351831
1764658185.5158925,91.5,35.1,0.005,12315.813174649798,12315.813174649798,0,0,0,91.5,35.1,0.005,12315.813174649798,12315.813174649798,0,0,0,0,0,2.1387713316466734,1231581317.4649796
1764658186.528387,91.5,35.3,0.005,13559.578971957115,13559.578971957115,0,0,0,91.5,35.3,0.005,13559.578971957115,13559.578971957115,0,0,0,0,0,2.0038389812857074,1355957897.1957114
1764658187.5336442,89.6,35.6,0.005,13741.757797376596,13741.757797376596,0,0,0,89.6,35.6,0.005,13741.757797376596,13741.757797376596,0,0,0,0,0,1.8391640068931998,1374175779.7376595
1764658188.5423312,90.1,35.9,0.005,14505.986217068408,14505.986217068408,0,0,0,90.1,35.9,0.005,14505.986217068408,14505.986217068408,0,0,0,0,0,1.7527040787656922,1450598621.7068408
1764658189.546636,88.6,36.3,0.005,14041.552718191228,14041.552718191228,0,0,0,88.6,36.3,0.005,14041.552718191228,14041.552718191228,0,0,0,0,0,1.6269967416231539,1404155271.8191226
1764658190.551153,91.2,36.6,0.005,14183.933442338679,14183.933442338679,0,0,0,91.2,36.6,0.005,14183.933442338679,14183.933442338679,0,0,0,0,0,1.6101914259949122,1418393344.233868
1764658191.5563912,90.5,36.8,0.005,11534.578479819273,11534.578479819273,0,0,0,90.5,36.8,0.005,11534.578479819273,11534.578479819273,0,0,0,0,0,1.5173814174486528,1153457847.9819272
1764658192.5603948,88.9,37.2,0.005,14662.299122128776,14662.299122128776,0,0,0,88.9,37.2,0.005,14662.299122128776,14662.299122128776,0,0,0,0,0,1.4117355369421705,1466229912.2128775
1764658193.5644135,89.5,37.4,0.005,14509.688701450432,14509.688701450432,0,0,0,89.5,37.4,0.005,14509.688701450432,14509.688701450432,0,0,0,0,0,1.364163810067194,1450968870.1450431
1764658194.568408,89.9,37.7,0.005,14587.72982561627,14587.72982561627,0,0,0,89.9,37.7,0.005,14587.72982561627,14587.72982561627,0,0,0,0,0,1.3151748692671794,1458772982.561627
1764658195.5778654,87.3,38.1,0.005,14431.516104385222,14431.516104385222,0,0,0,87.3,38.1,0.005,14431.516104385222,14431.516104385222,0,0,0,0,0,1.2021586476270105,1443151610.438522
1764658196.5828695,90.2,38.4,0.005,14382.02991251142,14382.02991251142,0,0,0,90.2,38.4,0.005,14382.02991251142,14382.02991251142,0,0,0,0,0,1.2183397202252477,1438202991.2511418
1764658197.586574,87.4,38.7,0.005,14195.41241500275,14195.41241500275,0,0,0,87.4,38.7,0.005,14195.41241500275,14195.41241500275,0,0,0,0,0,1.107031010702679,1419541241.500275
